State,Zip,County,Primary City,MFG Rep
AK,99553,Aleutians East Borough,Akutan,
AK,99546,Aleutians West Census Area,Adak,
AK,99501,Anchorage Municipality,Anchorage,
AK,99545,Bethel Census Area,Kongiganak,
AK,99613,Bristol Bay Borough,King Salmon,
AK,99574,Chugach Census Area,Cordova,
AK,99802,City and Borough of Juneau,Juneau,
AK,99566,Copper River Census Area,Chitina,
AK,99704,Denali Borough,Clear,
AK,99555,Dillingham Census Area,Aleknagik,
AK,99701,Fairbanks North Star Borough,Fairbanks,
AK,99827,Haines Borough,Haines,
AK,99820,Hoonah-Angoon Census Area,Angoon,
AK,99801,Juneau City and Borough,Juneau,
AK,99556,Kenai Peninsula Borough,Anchor Point,
AK,99901,Ketchikan Gateway Borough,Ketchikan,
AK,99550,Kodiak Island Borough,Port Lions,
AK,99554,Kusilvak Census Area,Alakanuk,
AK,99548,Lake and Peninsula Borough,Chignik Lake,
AK,99623,Matanuska-Susitna Borough,Wasilla,
AK,99509,Municipality of Anchorage,Anchorage,
AK,99659,Nome Census Area,Saint Michael,
AK,99510,North Slope Borough,Anchorage,
AK,99727,Northwest Arctic Borough,Buckland,
AK,99833,Petersburg Borough,Petersburg,
AK,99830,Prince of Wales-Hyder Census Area,Kake,
AK,99950,Prince of Wales-Outer Ketchikan Borough,Ketchikan,
AK,99835,Sitka City and Borough,Sitka,
AK,99840,Skagway Municipality,Skagway,
AK,99706,Southeast Fairbanks Census Area,Fairbanks,
AK,99903,Wrangell City and Borough,Meyers Chuck,
AK,99689,Yakutat City and Borough,Yakutat,
AK,99558,Yukon-Koyukuk Census Area,Anvik,
AL,36003,Autauga County,Autaugaville,Open Air Products
AL,36507,Baldwin County,Bay Minette,Open Air Products
AL,36016,Barbour County,Clayton,Open Air Products
AL,35034,Bibb County,Brent,Open Air Products
AL,35013,Blount County,Allgood,Open Air Products
AL,36029,Bullock County,Fitzpatrick,Open Air Products
AL,36015,Butler County,Chapman,Open Air Products
AL,36201,Calhoun County,Anniston,Open Air Products
AL,36854,Chambers County,Valley,Open Air Products
AL,35959,Cherokee County,Cedar Bluff,Open Air Products
AL,35045,Chilton County,Clanton,Open Air Products
AL,36904,Choctaw County,Butler,Open Air Products
AL,36436,Clarke County,Dickinson,Open Air Products
AL,35082,Clay County,Hollins,Open Air Products
AL,36261,Cleburne County,Edwardsville,Open Air Products
AL,36323,Coffee County,Elba,Open Air Products
AL,35616,Colbert County,Cherokee,Open Air Products
AL,36401,Conecuh County,Evergreen,Open Air Products
AL,35072,Coosa County,Goodwater,Open Air Products
AL,36028,Covington County,Dozier,Open Air Products
AL,36009,Crenshaw County,Brantley,Open Air Products
AL,35019,Cullman County,Baileyton,Open Air Products
AL,36311,Dale County,Ariton,Open Air Products
AL,36701,Dallas County,Selma,Open Air Products
AL,35961,DeKalb County,Collinsville,Open Air Products
AL,36020,Elmore County,Coosada,Open Air Products
AL,36426,Escambia County,Brewton,Open Air Products
AL,35901,Etowah County,Gadsden,Open Air Products
AL,35542,Fayette County,Bankston,Open Air Products
